Ship,Alpha,Initial_Bot_Position,Rat_Position,Baseline_Total,Baseline_Attempt_Count,Baseline_Blocked_Sensing,Baseline_Rat_Chase_Count,Baseline_Ping_Count,Rat_Not_Caught
43,0.04,"(8, 19)","(14, 2)",206,0,3,100,100,False
43,0.06,"(8, 19)","(14, 2)",354,0,3,174,174,False
43,0.08,"(8, 19)","(14, 2)",202,0,3,98,98,False
43,0.1,"(8, 19)","(14, 2)",298,0,3,146,146,False
43,0.12,"(8, 19)","(14, 2)",86,0,3,40,40,False
43,0.14,"(8, 19)","(14, 2)",122,0,3,58,58,False
43,0.16,"(8, 19)","(14, 2)",122,0,3,58,58,False
43,0.18,"(8, 19)","(14, 2)",134,0,3,64,64,False
43,0.2,"(8, 19)","(14, 2)",202,0,3,98,98,False
43,0.3,"(8, 19)","(14, 2)",290,0,3,142,142,False
43,0.4,"(8, 19)","(14, 2)",122,0,3,58,58,False
43,0.5,"(8, 19)","(14, 2)",350,0,3,172,172,False
43,0.6,"(8, 19)","(14, 2)",558,0,3,276,276,False
43,0.7,"(8, 19)","(14, 2)",350,0,3,172,172,False
43,0.8,"(8, 19)","(14, 2)",202,0,3,98,98,False
43,0.9,"(8, 19)","(14, 2)",250,0,3,122,122,False
43,1.0,"(8, 19)","(14, 2)",9534,0,3,4764,4764,False
44,0.02,"(8, 22)","(14, 23)",340,1,6,164,164,False
44,0.04,"(8, 22)","(14, 23)",856,1,6,422,422,False
44,0.06,"(8, 22)","(14, 23)",108,1,6,48,48,False
44,0.08,"(8, 22)","(14, 23)",408,1,6,198,198,False
44,0.1,"(8, 22)","(14, 23)",108,1,6,48,48,False
44,0.12,"(8, 22)","(14, 23)",152,1,6,70,70,False
44,0.14,"(8, 22)","(14, 23)",108,1,6,48,48,False
44,0.16,"(8, 22)","(14, 23)",152,1,6,70,70,False
44,0.18,"(8, 22)","(14, 23)",124,1,6,56,56,False
44,0.2,"(8, 22)","(14, 23)",52,1,6,20,20,False
44,0.3,"(8, 22)","(14, 23)",52,1,6,20,20,False
44,0.4,"(8, 22)","(14, 23)",52,1,6,20,20,False
44,0.5,"(8, 22)","(14, 23)",460,1,6,224,224,False
44,0.6,"(8, 22)","(14, 23)",916,1,6,452,452,False
44,0.7,"(8, 22)","(14, 23)",1004,1,6,496,496,False
44,0.8,"(8, 22)","(14, 23)",2284,1,6,1136,1136,False
44,0.9,"(8, 22)","(14, 23)",1416,1,6,702,702,False
44,1.0,"(8, 22)","(14, 23)",928,1,6,458,458,False
45,0.02,"(8, 21)","(14, 11)",450,1,7,218,218,False
45,0.04,"(8, 21)","(14, 11)",90,1,7,38,38,False
45,0.06,"(8, 21)","(14, 11)",314,1,7,150,150,False
45,0.08,"(8, 21)","(14, 11)",158,1,7,72,72,False
45,0.1,"(8, 21)","(14, 11)",390,1,7,188,188,False
45,0.12,"(8, 21)","(14, 11)",374,1,7,180,180,False
45,0.14,"(8, 21)","(14, 11)",262,1,7,124,124,False
45,0.16,"(8, 21)","(14, 11)",322,1,7,154,154,False
45,0.18,"(8, 21)","(14, 11)",446,1,7,216,216,False
45,0.2,"(8, 21)","(14, 11)",386,1,7,186,186,False
45,0.3,"(8, 21)","(14, 11)",274,1,7,130,130,False
45,0.4,"(8, 21)","(14, 11)",382,1,7,184,184,False
45,0.5,"(8, 21)","(14, 11)",322,1,7,154,154,False
45,0.6,"(8, 21)","(14, 11)",150,1,7,68,68,False
45,0.7,"(8, 21)","(14, 11)",302,1,7,144,144,False
45,0.8,"(8, 21)","(14, 11)",546,1,7,266,266,False
45,0.9,"(8, 21)","(14, 11)",486,1,7,236,236,False
45,1.0,"(8, 21)","(14, 11)",2462,1,7,1224,1224,False
46,0.02,"(8, 12)","(14, 11)",126,0,5,58,58,False
46,0.04,"(8, 12)","(14, 11)",234,0,5,112,112,False
46,0.06,"(8, 12)","(14, 11)",346,0,5,168,168,False
46,0.08,"(8, 12)","(14, 11)",146,0,5,68,68,False
46,0.1,"(8, 12)","(14, 11)",54,0,5,22,22,False
46,0.12,"(8, 12)","(14, 11)",206,0,5,98,98,False
46,0.14,"(8, 12)","(14, 11)",274,0,5,132,132,False
46,0.16,"(8, 12)","(14, 11)",350,0,5,170,170,False
46,0.18,"(8, 12)","(14, 11)",594,0,5,292,292,False
46,0.2,"(8, 12)","(14, 11)",270,0,5,130,130,False
46,0.3,"(8, 12)","(14, 11)",594,0,5,292,292,False
46,0.4,"(8, 12)","(14, 11)",358,0,5,174,174,False
46,0.5,"(8, 12)","(14, 11)",126,0,5,58,58,False
46,0.6,"(8, 12)","(14, 11)",686,0,5,338,338,False
46,0.7,"(8, 12)","(14, 11)",234,0,5,112,112,False
46,0.8,"(8, 12)","(14, 11)",86,0,5,38,38,False
46,0.9,"(8, 12)","(14, 11)",86,0,5,38,38,False
46,1.0,"(8, 12)","(14, 11)",102,0,5,46,46,False
47,0.02,"(8, 21)","(14, 16)",782,2,14,377,377,False
47,0.04,"(8, 21)","(14, 16)",662,2,14,317,317,False
47,0.06,"(8, 21)","(14, 16)",178,2,14,75,75,False
47,0.08,"(8, 21)","(14, 16)",62,2,14,17,17,False
47,0.1,"(8, 21)","(14, 16)",150,2,14,61,61,False
47,0.12,"(8, 21)","(14, 16)",170,2,14,71,71,False
47,0.14,"(8, 21)","(14, 16)",194,2,14,83,83,False
47,0.16,"(8, 21)","(14, 16)",638,2,14,305,305,False
47,0.18,"(8, 21)","(14, 16)",190,2,14,81,81,False
47,0.2,"(8, 21)","(14, 16)",330,2,14,151,151,False
47,0.3,"(8, 21)","(14, 16)",250,2,14,111,111,False
47,0.4,"(8, 21)","(14, 16)",282,2,14,127,127,False
47,0.5,"(8, 21)","(14, 16)",214,2,14,93,93,False
47,0.6,"(8, 21)","(14, 16)",546,2,14,259,259,False
47,0.7,"(8, 21)","(14, 16)",438,2,14,205,205,False
47,0.8,"(8, 21)","(14, 16)",994,2,14,483,483,False
47,0.9,"(8, 21)","(14, 16)",170,2,14,71,71,False
47,1.0,"(8, 21)","(14, 16)",838,2,14,405,405,False
48,0.02,"(9, 13)","(15, 6)",546,2,10,263,263,False
48,0.04,"(9, 13)","(15, 6)",806,2,10,393,393,False
48,0.06,"(9, 13)","(15, 6)",298,2,10,139,139,False
48,0.08,"(9, 13)","(15, 6)",490,2,10,235,235,False
48,0.1,"(9, 13)","(15, 6)",362,2,10,171,171,False
48,0.12,"(9, 13)","(15, 6)",170,2,10,75,75,False
48,0.14,"(9, 13)","(15, 6)",170,2,10,75,75,False
48,0.16,"(9, 13)","(15, 6)",182,2,10,81,81,False
48,0.18,"(9, 13)","(15, 6)",182,2,10,81,81,False
48,0.2,"(9, 13)","(15, 6)",182,2,10,81,81,False
48,0.3,"(9, 13)","(15, 6)",182,2,10,81,81,False
48,0.4,"(9, 13)","(15, 6)",882,2,10,431,431,False
48,0.5,"(9, 13)","(15, 6)",222,2,10,101,101,False
48,0.6,"(9, 13)","(15, 6)",222,2,10,101,101,False
48,0.7,"(9, 13)","(15, 6)",222,2,10,101,101,False
48,0.8,"(9, 13)","(15, 6)",894,2,10,437,437,False
48,0.9,"(9, 13)","(15, 6)",966,2,10,473,473,False
48,1.0,"(9, 13)","(15, 6)",194,2,10,87,87,False
49,0.02,"(8, 23)","(14, 15)",142,3,7,64,64,False
49,0.04,"(8, 23)","(14, 15)",502,3,7,244,244,False
49,0.06,"(8, 23)","(14, 15)",282,3,7,134,134,False
49,0.08,"(8, 23)","(14, 15)",494,3,7,240,240,False
49,0.1,"(8, 23)","(14, 15)",134,3,7,60,60,False
49,0.12,"(8, 23)","(14, 15)",98,3,7,42,42,False
49,0.14,"(8, 23)","(14, 15)",510,3,7,248,248,False
49,0.16,"(8, 23)","(14, 15)",526,3,7,256,256,False
49,0.18,"(8, 23)","(14, 15)",362,3,7,174,174,False
49,0.2,"(8, 23)","(14, 15)",430,3,7,208,208,False
49,0.3,"(8, 23)","(14, 15)",590,3,7,288,288,False
49,0.4,"(8, 23)","(14, 15)",198,3,7,92,92,False
49,0.5,"(8, 23)","(14, 15)",182,3,7,84,84,False
49,0.6,"(8, 23)","(14, 15)",186,3,7,86,86,False
49,0.7,"(8, 23)","(14, 15)",338,3,7,162,162,False
49,0.8,"(8, 23)","(14, 15)",186,3,7,86,86,False
49,0.9,"(8, 23)","(14, 15)",522,3,7,254,254,False
49,1.0,"(8, 23)","(14, 15)",486,3,7,236,236,False
50,0.02,"(8, 20)","(14, 18)",264,4,11,121,121,False
50,0.04,"(8, 20)","(14, 18)",264,4,11,121,121,False
50,0.06,"(8, 20)","(14, 18)",176,4,11,77,77,False
50,0.08,"(8, 20)","(14, 18)",120,4,11,49,49,False
50,0.1,"(8, 20)","(14, 18)",120,4,11,49,49,False
50,0.12,"(8, 20)","(14, 18)",120,4,11,49,49,False
50,0.14,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.16,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.18,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.2,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.3,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.4,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.5,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.6,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.7,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.8,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,0.9,"(8, 20)","(14, 18)",144,4,11,61,61,False
50,1.0,"(8, 20)","(14, 18)",144,4,11,61,61,False
51,0.02,"(9, 3)","(14, 21)",752,1,5,371,371,False
51,0.04,"(9, 3)","(14, 21)",288,1,5,139,139,False
51,0.06,"(9, 3)","(14, 21)",204,1,5,97,97,False
51,0.08,"(9, 3)","(14, 21)",192,1,5,91,91,False
51,0.1,"(9, 3)","(14, 21)",400,1,5,195,195,False
51,0.12,"(9, 3)","(14, 21)",256,1,5,123,123,False
51,0.14,"(9, 3)","(14, 21)",152,1,5,71,71,False
51,0.16,"(9, 3)","(14, 21)",252,1,5,121,121,False
51,0.18,"(9, 3)","(14, 21)",500,1,5,245,245,False
51,0.2,"(9, 3)","(14, 21)",284,1,5,137,137,False
51,0.3,"(9, 3)","(14, 21)",128,1,5,59,59,False
51,0.4,"(9, 3)","(14, 21)",128,1,5,59,59,False
51,0.5,"(9, 3)","(14, 21)",172,1,5,81,81,False
51,0.6,"(9, 3)","(14, 21)",488,1,5,239,239,False
51,0.7,"(9, 3)","(14, 21)",184,1,5,87,87,False
51,0.8,"(9, 3)","(14, 21)",308,1,5,149,149,False
51,0.9,"(9, 3)","(14, 21)",1464,1,5,727,727,False
51,1.0,"(9, 3)","(14, 21)",1400,1,5,695,695,False
52,0.02,"(8, 24)","(14, 24)",56,0,4,24,24,False
52,0.04,"(8, 24)","(14, 24)",260,0,4,126,126,False
52,0.06,"(8, 24)","(14, 24)",260,0,4,126,126,False
52,0.08,"(8, 24)","(14, 24)",252,0,4,122,122,False
52,0.1,"(8, 24)","(14, 24)",104,0,4,48,48,False
52,0.12,"(8, 24)","(14, 24)",160,0,4,76,76,False
52,0.14,"(8, 24)","(14, 24)",216,0,4,104,104,False
52,0.16,"(8, 24)","(14, 24)",204,0,4,98,98,False
52,0.18,"(8, 24)","(14, 24)",160,0,4,76,76,False
52,0.2,"(8, 24)","(14, 24)",60,0,4,26,26,False
52,0.3,"(8, 24)","(14, 24)",32,0,4,12,12,False
52,0.4,"(8, 24)","(14, 24)",92,0,4,42,42,False
52,0.5,"(8, 24)","(14, 24)",32,0,4,12,12,False
52,0.6,"(8, 24)","(14, 24)",32,0,4,12,12,False
52,0.7,"(8, 24)","(14, 24)",204,0,4,98,98,False
52,0.8,"(8, 24)","(14, 24)",148,0,4,70,70,False
52,0.9,"(8, 24)","(14, 24)",816,0,4,404,404,False
52,1.0,"(8, 24)","(14, 24)",32,0,4,12,12,False
53,0.02,"(9, 1)","(14, 25)",244,3,33,89,89,False
53,0.04,"(9, 1)","(14, 25)",1708,3,33,821,821,False
53,0.06,"(9, 1)","(14, 25)",308,3,33,121,121,False
53,0.08,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.1,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.12,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.14,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.16,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.18,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.2,"(9, 1)","(14, 25)",140,3,33,37,37,False
53,0.3,"(9, 1)","(14, 25)",692,3,33,313,313,False
53,0.4,"(9, 1)","(14, 25)",280,3,33,107,107,False
53,0.5,"(9, 1)","(14, 25)",280,3,33,107,107,False
53,0.6,"(9, 1)","(14, 25)",192,3,33,63,63,False
53,0.7,"(9, 1)","(14, 25)",192,3,33,63,63,False
53,0.8,"(9, 1)","(14, 25)",192,3,33,63,63,False
53,0.9,"(9, 1)","(14, 25)",192,3,33,63,63,False
53,1.0,"(9, 1)","(14, 25)",332,3,33,133,133,False
54,0.02,"(8, 11)","(14, 6)",498,2,19,230,230,False
54,0.04,"(8, 11)","(14, 6)",254,2,19,108,108,False
54,0.06,"(8, 11)","(14, 6)",662,2,19,312,312,False
54,0.08,"(8, 11)","(14, 6)",410,2,19,186,186,False
54,0.1,"(8, 11)","(14, 6)",414,2,19,188,188,False
54,0.12,"(8, 11)","(14, 6)",486,2,19,224,224,False
54,0.14,"(8, 11)","(14, 6)",414,2,19,188,188,False
54,0.16,"(8, 11)","(14, 6)",426,2,19,194,194,False
54,0.18,"(8, 11)","(14, 6)",410,2,19,186,186,False
54,0.2,"(8, 11)","(14, 6)",138,2,19,50,50,False
54,0.3,"(8, 11)","(14, 6)",350,2,19,156,156,False
54,0.4,"(8, 11)","(14, 6)",394,2,19,178,178,False
54,0.5,"(8, 11)","(14, 6)",478,2,19,220,220,False
54,0.6,"(8, 11)","(14, 6)",810,2,19,386,386,False
54,0.7,"(8, 11)","(14, 6)",510,2,19,236,236,False
54,0.8,"(8, 11)","(14, 6)",762,2,19,362,362,False
54,0.9,"(8, 11)","(14, 6)",566,2,19,264,264,False
54,1.0,"(8, 11)","(14, 6)",110,2,19,36,36,False
55,0.02,"(8, 18)","(14, 27)",216,1,12,96,96,False
55,0.04,"(8, 18)","(14, 27)",280,1,12,128,128,False
55,0.06,"(8, 18)","(14, 27)",252,1,12,114,114,False
55,0.08,"(8, 18)","(14, 27)",244,1,12,110,110,False
55,0.1,"(8, 18)","(14, 27)",152,1,12,64,64,False
55,0.12,"(8, 18)","(14, 27)",116,1,12,46,46,False
55,0.14,"(8, 18)","(14, 27)",264,1,12,120,120,False
55,0.16,"(8, 18)","(14, 27)",216,1,12,96,96,False
55,0.18,"(8, 18)","(14, 27)",216,1,12,96,96,False
55,0.2,"(8, 18)","(14, 27)",264,1,12,120,120,False
55,0.3,"(8, 18)","(14, 27)",660,1,12,318,318,False
55,0.4,"(8, 18)","(14, 27)",512,1,12,244,244,False
55,0.5,"(8, 18)","(14, 27)",832,1,12,404,404,False
55,0.6,"(8, 18)","(14, 27)",1136,1,12,556,556,False
55,0.7,"(8, 18)","(14, 27)",456,1,12,216,216,False
55,0.8,"(8, 18)","(14, 27)",660,1,12,318,318,False
55,0.9,"(8, 18)","(14, 27)",19340,1,12,9658,9658,False
55,1.0,"(8, 18)","(14, 27)",1824,1,12,900,900,False
56,0.02,"(8, 24)","(14, 17)",426,0,3,210,210,False
56,0.04,"(8, 24)","(14, 17)",58,0,3,26,26,False
56,0.06,"(8, 24)","(14, 17)",30,0,3,12,12,False
56,0.08,"(8, 24)","(14, 17)",674,0,3,334,334,False
56,0.1,"(8, 24)","(14, 17)",438,0,3,216,216,False
56,0.12,"(8, 24)","(14, 17)",338,0,3,166,166,False
56,0.14,"(8, 24)","(14, 17)",442,0,3,218,218,False
56,0.16,"(8, 24)","(14, 17)",26,0,3,10,10,False
56,0.18,"(8, 24)","(14, 17)",30,0,3,12,12,False
56,0.2,"(8, 24)","(14, 17)",30,0,3,12,12,False
56,0.3,"(8, 24)","(14, 17)",26,0,3,10,10,False
56,0.4,"(8, 24)","(14, 17)",26,0,3,10,10,False
56,0.5,"(8, 24)","(14, 17)",26,0,3,10,10,False
56,0.6,"(8, 24)","(14, 17)",26,0,3,10,10,False
56,0.7,"(8, 24)","(14, 17)",54,0,3,24,24,False
56,0.8,"(8, 24)","(14, 17)",54,0,3,24,24,False
56,0.9,"(8, 24)","(14, 17)",150,0,3,72,72,False
56,1.0,"(8, 24)","(14, 17)",9154,0,3,4574,4574,False
57,0.02,"(8, 12)","(14, 7)",232,1,7,109,109,False
57,0.04,"(8, 12)","(14, 7)",232,1,7,109,109,False
57,0.06,"(8, 12)","(14, 7)",516,1,7,251,251,False
57,0.08,"(8, 12)","(14, 7)",640,1,7,313,313,False
57,0.1,"(8, 12)","(14, 7)",988,1,7,487,487,False
57,0.12,"(8, 12)","(14, 7)",156,1,7,71,71,False
57,0.14,"(8, 12)","(14, 7)",232,1,7,109,109,False
57,0.16,"(8, 12)","(14, 7)",92,1,7,39,39,False
57,0.18,"(8, 12)","(14, 7)",160,1,7,73,73,False
57,0.2,"(8, 12)","(14, 7)",92,1,7,39,39,False
57,0.3,"(8, 12)","(14, 7)",536,1,7,261,261,False
57,0.4,"(8, 12)","(14, 7)",452,1,7,219,219,False
57,0.5,"(8, 12)","(14, 7)",556,1,7,271,271,False
57,0.6,"(8, 12)","(14, 7)",160,1,7,73,73,False
57,0.7,"(8, 12)","(14, 7)",160,1,7,73,73,False
57,0.8,"(8, 12)","(14, 7)",160,1,7,73,73,False
57,0.9,"(8, 12)","(14, 7)",472,1,7,229,229,False
57,1.0,"(8, 12)","(14, 7)",3388,1,7,1687,1687,False
58,0.02,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.04,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.06,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.08,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.1,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.12,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.14,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.16,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.18,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.2,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.3,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.4,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.5,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.6,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.7,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.8,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,0.9,"(8, 27)","(14, 22)",60,3,30,0,0,False
58,1.0,"(8, 27)","(14, 22)",60,3,30,0,0,False
59,0.02,"(9, 5)","(15, 3)",50,3,7,18,18,False
59,0.04,"(9, 5)","(15, 3)",422,3,7,204,204,False
59,0.06,"(9, 5)","(15, 3)",58,3,7,22,22,False
59,0.08,"(9, 5)","(15, 3)",50,3,7,18,18,False
59,0.1,"(9, 5)","(15, 3)",38,3,7,12,12,False
59,0.12,"(9, 5)","(15, 3)",38,3,7,12,12,False
59,0.14,"(9, 5)","(15, 3)",38,3,7,12,12,False
59,0.16,"(9, 5)","(15, 3)",38,3,7,12,12,False
59,0.18,"(9, 5)","(15, 3)",38,3,7,12,12,False
59,0.2,"(9, 5)","(15, 3)",70,3,7,28,28,False
59,0.3,"(9, 5)","(15, 3)",54,3,7,20,20,False
59,0.4,"(9, 5)","(15, 3)",54,3,7,20,20,False
59,0.5,"(9, 5)","(15, 3)",110,3,7,48,48,False
59,0.6,"(9, 5)","(15, 3)",166,3,7,76,76,False
59,0.7,"(9, 5)","(15, 3)",398,3,7,192,192,False
59,0.8,"(9, 5)","(15, 3)",306,3,7,146,146,False
59,0.9,"(9, 5)","(15, 3)",82,3,7,34,34,False
59,1.0,"(9, 5)","(15, 3)",434,3,7,210,210,False
60,0.02,"(9, 1)","(14, 18)",670,1,3,332,332,False
60,0.04,"(9, 1)","(14, 18)",142,1,3,68,68,False
60,0.06,"(9, 1)","(14, 18)",158,1,3,76,76,False
60,0.08,"(9, 1)","(14, 18)",198,1,3,96,96,False
60,0.1,"(9, 1)","(14, 18)",670,1,3,332,332,False
60,0.12,"(9, 1)","(14, 18)",274,1,3,134,134,False
60,0.14,"(9, 1)","(14, 18)",678,1,3,336,336,False
60,0.16,"(9, 1)","(14, 18)",222,1,3,108,108,False
60,0.18,"(9, 1)","(14, 18)",362,1,3,178,178,False
60,0.2,"(9, 1)","(14, 18)",222,1,3,108,108,False
60,0.3,"(9, 1)","(14, 18)",462,1,3,228,228,False
60,0.4,"(9, 1)","(14, 18)",734,1,3,364,364,False
60,0.5,"(9, 1)","(14, 18)",486,1,3,240,240,False
60,0.6,"(9, 1)","(14, 18)",222,1,3,108,108,False
60,0.7,"(9, 1)","(14, 18)",222,1,3,108,108,False
60,0.8,"(9, 1)","(14, 18)",218,1,3,106,106,False
60,0.9,"(9, 1)","(14, 18)",270,1,3,132,132,False
60,1.0,"(9, 1)","(14, 18)",270,1,3,132,132,False
61,0.02,"(8, 16)","(14, 18)",648,2,6,318,318,False
61,0.04,"(8, 16)","(14, 18)",168,2,6,78,78,False
61,0.06,"(8, 16)","(14, 18)",168,2,6,78,78,False
61,0.08,"(8, 16)","(14, 18)",256,2,6,122,122,False
61,0.1,"(8, 16)","(14, 18)",168,2,6,78,78,False
61,0.12,"(8, 16)","(14, 18)",72,2,6,30,30,False
61,0.14,"(8, 16)","(14, 18)",72,2,6,30,30,False
61,0.16,"(8, 16)","(14, 18)",72,2,6,30,30,False
61,0.18,"(8, 16)","(14, 18)",72,2,6,30,30,False
61,0.2,"(8, 16)","(14, 18)",72,2,6,30,30,False
61,0.3,"(8, 16)","(14, 18)",156,2,6,72,72,False
61,0.4,"(8, 16)","(14, 18)",284,2,6,136,136,False
61,0.5,"(8, 16)","(14, 18)",144,2,6,66,66,False
61,0.6,"(8, 16)","(14, 18)",144,2,6,66,66,False
61,0.7,"(8, 16)","(14, 18)",168,2,6,78,78,False
61,0.8,"(8, 16)","(14, 18)",168,2,6,78,78,False
61,0.9,"(8, 16)","(14, 18)",168,2,6,78,78,False
61,1.0,"(8, 16)","(14, 18)",400,2,6,194,194,False
62,0.02,"(9, 11)","(14, 21)",442,2,12,209,209,False
62,0.04,"(9, 11)","(14, 21)",366,2,12,171,171,False
62,0.06,"(9, 11)","(14, 21)",442,2,12,209,209,False
62,0.08,"(9, 11)","(14, 21)",418,2,12,197,197,False
62,0.1,"(9, 11)","(14, 21)",274,2,12,125,125,False
62,0.12,"(9, 11)","(14, 21)",246,2,12,111,111,False
62,0.14,"(9, 11)","(14, 21)",422,2,12,199,199,False
62,0.16,"(9, 11)","(14, 21)",586,2,12,281,281,False
62,0.18,"(9, 11)","(14, 21)",358,2,12,167,167,False
62,0.2,"(9, 11)","(14, 21)",794,2,12,385,385,False
62,0.3,"(9, 11)","(14, 21)",102,2,12,39,39,False
62,0.4,"(9, 11)","(14, 21)",102,2,12,39,39,False
62,0.5,"(9, 11)","(14, 21)",182,2,12,79,79,False
62,0.6,"(9, 11)","(14, 21)",182,2,12,79,79,False
62,0.7,"(9, 11)","(14, 21)",1046,2,12,511,511,False
62,0.8,"(9, 11)","(14, 21)",746,2,12,361,361,False
62,0.9,"(9, 11)","(14, 21)",706,2,12,341,341,False
62,1.0,"(9, 11)","(14, 21)",726,2,12,351,351,False
63,0.02,"(8, 18)","(14, 9)",530,2,11,254,254,False
63,0.04,"(8, 18)","(14, 9)",350,2,11,164,164,False
63,0.06,"(8, 18)","(14, 9)",214,2,11,96,96,False
63,0.08,"(8, 18)","(14, 9)",122,2,11,50,50,False
63,0.1,"(8, 18)","(14, 9)",122,2,11,50,50,False
63,0.12,"(8, 18)","(14, 9)",118,2,11,48,48,False
63,0.14,"(8, 18)","(14, 9)",386,2,11,182,182,False
63,0.16,"(8, 18)","(14, 9)",486,2,11,232,232,False
63,0.18,"(8, 18)","(14, 9)",282,2,11,130,130,False
63,0.2,"(8, 18)","(14, 9)",118,2,11,48,48,False
63,0.3,"(8, 18)","(14, 9)",278,2,11,128,128,False
63,0.4,"(8, 18)","(14, 9)",130,2,11,54,54,False
63,0.5,"(8, 18)","(14, 9)",422,2,11,200,200,False
63,0.6,"(8, 18)","(14, 9)",298,2,11,138,138,False
63,0.7,"(8, 18)","(14, 9)",394,2,11,186,186,False
63,0.8,"(8, 18)","(14, 9)",182,2,11,80,80,False
63,0.9,"(8, 18)","(14, 9)",526,2,11,252,252,False
63,1.0,"(8, 18)","(14, 9)",250,2,11,114,114,False
64,0.02,"(9, 10)","(14, 28)",304,3,7,145,145,False
64,0.04,"(9, 10)","(14, 28)",428,3,7,207,207,False
64,0.06,"(9, 10)","(14, 28)",356,3,7,171,171,False
64,0.08,"(9, 10)","(14, 28)",264,3,7,125,125,False
64,0.1,"(9, 10)","(14, 28)",216,3,7,101,101,False
64,0.12,"(9, 10)","(14, 28)",124,3,7,55,55,False
64,0.14,"(9, 10)","(14, 28)",144,3,7,65,65,False
64,0.16,"(9, 10)","(14, 28)",208,3,7,97,97,False
64,0.18,"(9, 10)","(14, 28)",124,3,7,55,55,False
64,0.2,"(9, 10)","(14, 28)",216,3,7,101,101,False
64,0.3,"(9, 10)","(14, 28)",200,3,7,93,93,False
64,0.4,"(9, 10)","(14, 28)",144,3,7,65,65,False
64,0.5,"(9, 10)","(14, 28)",292,3,7,139,139,False
64,0.6,"(9, 10)","(14, 28)",572,3,7,279,279,False
64,0.7,"(9, 10)","(14, 28)",144,3,7,65,65,False
64,0.8,"(9, 10)","(14, 28)",144,3,7,65,65,False
64,0.9,"(9, 10)","(14, 28)",144,3,7,65,65,False
64,1.0,"(9, 10)","(14, 28)",144,3,7,65,65,False
65,0.02,"(8, 25)","(14, 24)",52,1,7,19,19,False
65,0.04,"(8, 25)","(14, 24)",52,1,7,19,19,False
65,0.06,"(8, 25)","(14, 24)",52,1,7,19,19,False
65,0.08,"(8, 25)","(14, 24)",60,1,7,23,23,False
65,0.1,"(8, 25)","(14, 24)",60,1,7,23,23,False
65,0.12,"(8, 25)","(14, 24)",92,1,7,39,39,False
65,0.14,"(8, 25)","(14, 24)",1332,1,7,659,659,False
65,0.16,"(8, 25)","(14, 24)",788,1,7,387,387,False
65,0.18,"(8, 25)","(14, 24)",132,1,7,59,59,False
65,0.2,"(8, 25)","(14, 24)",320,1,7,153,153,False
65,0.3,"(8, 25)","(14, 24)",176,1,7,81,81,False
65,0.4,"(8, 25)","(14, 24)",92,1,7,39,39,False
65,0.5,"(8, 25)","(14, 24)",52,1,7,19,19,False
65,0.6,"(8, 25)","(14, 24)",240,1,7,113,113,False
65,0.7,"(8, 25)","(14, 24)",264,1,7,125,125,False
65,0.8,"(8, 25)","(14, 24)",64,1,7,25,25,False
65,0.9,"(8, 25)","(14, 24)",252,1,7,119,119,False
65,1.0,"(8, 25)","(14, 24)",264,1,7,125,125,False
66,0.02,"(8, 13)","(14, 5)",230,1,11,104,104,False
66,0.04,"(8, 13)","(14, 5)",1398,1,11,688,688,False
66,0.06,"(8, 13)","(14, 5)",222,1,11,100,100,False
66,0.08,"(8, 13)","(14, 5)",494,1,11,236,236,False
66,0.1,"(8, 13)","(14, 5)",222,1,11,100,100,False
66,0.12,"(8, 13)","(14, 5)",154,1,11,66,66,False
66,0.14,"(8, 13)","(14, 5)",158,1,11,68,68,False
