Ship,Alpha,Initial_Bot_Position,Rat_Position,Baseline_Total,Baseline_Attempt_Count,Baseline_Blocked_Sensing,Baseline_Rat_Chase_Count,Baseline_Ping_Count
93,0.04,"(3, 27)","(5, 19)",1208,2,18,594,594
93,0.06,"(3, 27)","(5, 19)",1044,2,18,512,512
93,0.08,"(3, 27)","(5, 19)",680,2,18,330,330
93,0.1,"(3, 27)","(5, 19)",6812,2,18,3396,3396
93,0.12,"(3, 27)","(5, 19)",12832,2,18,6406,6406
93,0.14,"(3, 27)","(5, 19)",4824,2,18,2402,2402
93,0.16,"(3, 27)","(5, 19)",536,2,18,258,258
93,0.18,"(3, 27)","(5, 19)",1072,2,18,526,526
93,0.2,"(3, 27)","(5, 19)",8996,2,18,4488,4488
93,0.3,"(3, 27)","(5, 19)",548,2,18,264,264
93,0.4,"(3, 27)","(5, 19)",548,2,18,264,264
93,0.5,"(3, 27)","(5, 19)",548,2,18,264,264
93,0.6,"(3, 27)","(5, 19)",548,2,18,264,264
93,0.7,"(3, 27)","(5, 19)",576,2,18,278,278
93,0.8,"(3, 27)","(5, 19)",13084,2,18,6532,6532
93,0.9,"(3, 27)","(5, 19)",576,2,18,278,278
93,1.0,"(3, 27)","(5, 19)",576,2,18,278,278
94,0.02,"(3, 28)","(6, 1)",664,3,17,322,322
94,0.04,"(3, 28)","(6, 1)",2632,3,17,1306,1306
94,0.06,"(3, 28)","(6, 1)",7424,3,17,3702,3702
94,0.08,"(3, 28)","(6, 1)",2896,3,17,1438,1438
94,0.1,"(3, 28)","(6, 1)",6364,3,17,3172,3172
94,0.12,"(3, 28)","(6, 1)",3020,3,17,1500,1500
94,0.14,"(3, 28)","(6, 1)",11184,3,17,5582,5582
94,0.16,"(3, 28)","(6, 1)",9292,3,17,4636,4636
94,0.18,"(3, 28)","(6, 1)",9248,3,17,4614,4614
94,0.2,"(3, 28)","(6, 1)",7712,3,17,3846,3846
94,0.3,"(3, 28)","(6, 1)",11108,3,17,5544,5544
94,0.4,"(3, 28)","(6, 1)",11136,3,17,5558,5558
94,0.5,"(3, 28)","(6, 1)",11188,3,17,5584,5584
94,0.6,"(3, 28)","(6, 1)",11188,3,17,5584,5584
94,0.7,"(3, 28)","(6, 1)",11188,3,17,5584,5584
94,0.8,"(3, 28)","(6, 1)",11188,3,17,5584,5584
94,0.9,"(3, 28)","(6, 1)",11188,3,17,5584,5584
94,1.0,"(3, 28)","(6, 1)",11188,3,17,5584,5584
95,0.02,"(3, 26)","(5, 25)",70,1,19,25,25
95,0.04,"(3, 26)","(5, 25)",150,1,19,65,65
95,0.06,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.08,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.1,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.12,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.14,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.16,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.18,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.2,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.3,"(3, 26)","(5, 25)",42,1,19,11,11
95,0.4,"(3, 26)","(5, 25)",1402,1,19,691,691
95,0.5,"(3, 26)","(5, 25)",1402,1,19,691,691
95,0.6,"(3, 26)","(5, 25)",1402,1,19,691,691
95,0.7,"(3, 26)","(5, 25)",1402,1,19,691,691
95,0.8,"(3, 26)","(5, 25)",1402,1,19,691,691
95,0.9,"(3, 26)","(5, 25)",1402,1,19,691,691
95,1.0,"(3, 26)","(5, 25)",1402,1,19,691,691
96,0.02,"(3, 26)","(5, 19)",541,0,9,266,266
96,0.04,"(3, 26)","(5, 19)",373,0,9,182,182
96,0.06,"(3, 26)","(5, 19)",1369,0,9,680,680
96,0.08,"(3, 26)","(5, 19)",1461,0,9,726,726
96,0.1,"(3, 26)","(5, 19)",829,0,9,410,410
96,0.12,"(3, 26)","(5, 19)",361,0,9,176,176
96,0.14,"(3, 26)","(5, 19)",365,0,9,178,178
96,0.16,"(3, 26)","(5, 19)",365,0,9,178,178
96,0.18,"(3, 26)","(5, 19)",1357,0,9,674,674
96,0.2,"(3, 26)","(5, 19)",293,0,9,142,142
96,0.3,"(3, 26)","(5, 19)",1085,0,9,538,538
96,0.4,"(3, 26)","(5, 19)",1085,0,9,538,538
96,0.5,"(3, 26)","(5, 19)",1085,0,9,538,538
96,0.6,"(3, 26)","(5, 19)",1761,0,9,876,876
96,0.7,"(3, 26)","(5, 19)",1761,0,9,876,876
96,0.8,"(3, 26)","(5, 19)",1761,0,9,876,876
96,0.9,"(3, 26)","(5, 19)",1761,0,9,876,876
96,1.0,"(3, 26)","(5, 19)",1761,0,9,876,876
97,0.02,"(3, 18)","(5, 14)",411,1,8,201,201
97,0.04,"(3, 18)","(5, 14)",55,1,8,23,23
97,0.06,"(3, 18)","(5, 14)",147,1,8,69,69
97,0.08,"(3, 18)","(5, 14)",63,1,8,27,27
97,0.1,"(3, 18)","(5, 14)",87,1,8,39,39
97,0.12,"(3, 18)","(5, 14)",1471,1,8,731,731
97,0.14,"(3, 18)","(5, 14)",1455,1,8,723,723
97,0.16,"(3, 18)","(5, 14)",6139,1,8,3065,3065
97,0.18,"(3, 18)","(5, 14)",1167,1,8,579,579
97,0.2,"(3, 18)","(5, 14)",3279,1,8,1635,1635
97,0.3,"(3, 18)","(5, 14)",151,1,8,71,71
97,0.4,"(3, 18)","(5, 14)",395,1,8,193,193
97,0.5,"(3, 18)","(5, 14)",6091,1,8,3041,3041
97,0.6,"(3, 18)","(5, 14)",6091,1,8,3041,3041
97,0.7,"(3, 18)","(5, 14)",651,1,8,321,321
97,0.8,"(3, 18)","(5, 14)",651,1,8,321,321
97,0.9,"(3, 18)","(5, 14)",6547,1,8,3269,3269
97,1.0,"(3, 18)","(5, 14)",6547,1,8,3269,3269
98,0.02,"(3, 23)","(5, 16)",58,0,4,27,27
98,0.04,"(3, 23)","(5, 16)",542,0,4,269,269
98,0.06,"(3, 23)","(5, 16)",622,0,4,309,309
98,0.08,"(3, 23)","(5, 16)",150,0,4,73,73
98,0.1,"(3, 23)","(5, 16)",134,0,4,65,65
98,0.12,"(3, 23)","(5, 16)",642,0,4,319,319
98,0.14,"(3, 23)","(5, 16)",674,0,4,335,335
98,0.16,"(3, 23)","(5, 16)",674,0,4,335,335
98,0.18,"(3, 23)","(5, 16)",118,0,4,57,57
98,0.2,"(3, 23)","(5, 16)",118,0,4,57,57
98,0.3,"(3, 23)","(5, 16)",6430,0,4,3213,3213
98,0.4,"(3, 23)","(5, 16)",2214,0,4,1105,1105
98,0.5,"(3, 23)","(5, 16)",1170,0,4,583,583
98,0.6,"(3, 23)","(5, 16)",1238,0,4,617,617
98,0.7,"(3, 23)","(5, 16)",1242,0,4,619,619
98,0.8,"(3, 23)","(5, 16)",1242,0,4,619,619
98,0.9,"(3, 23)","(5, 16)",1242,0,4,619,619
98,1.0,"(3, 23)","(5, 16)",1242,0,4,619,619
99,0.02,"(3, 24)","(5, 18)",77,1,18,29,29
99,0.04,"(3, 24)","(5, 18)",569,1,18,275,275
99,0.06,"(3, 24)","(5, 18)",45,1,18,13,13
99,0.08,"(3, 24)","(5, 18)",825,1,18,403,403
99,0.1,"(3, 24)","(5, 18)",45,1,18,13,13
99,0.12,"(3, 24)","(5, 18)",405,1,18,193,193
99,0.14,"(3, 24)","(5, 18)",45,1,18,13,13
99,0.16,"(3, 24)","(5, 18)",45,1,18,13,13
99,0.18,"(3, 24)","(5, 18)",473,1,18,227,227
99,0.2,"(3, 24)","(5, 18)",473,1,18,227,227
99,0.3,"(3, 24)","(5, 18)",477,1,18,229,229
99,0.4,"(3, 24)","(5, 18)",477,1,18,229,229
99,0.5,"(3, 24)","(5, 18)",477,1,18,229,229
99,0.6,"(3, 24)","(5, 18)",1241,1,18,611,611
99,0.7,"(3, 24)","(5, 18)",1241,1,18,611,611
99,0.8,"(3, 24)","(5, 18)",1241,1,18,611,611
99,0.9,"(3, 24)","(5, 18)",1241,1,18,611,611
99,1.0,"(3, 24)","(5, 18)",1345,1,18,663,663
100,0.02,"(3, 25)","(5, 23)",137,0,7,65,65
100,0.04,"(3, 25)","(5, 23)",217,0,7,105,105
100,0.06,"(3, 25)","(5, 23)",217,0,7,105,105
100,0.08,"(3, 25)","(5, 23)",217,0,7,105,105
100,0.1,"(3, 25)","(5, 23)",217,0,7,105,105
100,0.12,"(3, 25)","(5, 23)",217,0,7,105,105
100,0.14,"(3, 25)","(5, 23)",217,0,7,105,105
100,0.16,"(3, 25)","(5, 23)",7077,0,7,3535,3535
100,0.18,"(3, 25)","(5, 23)",1501,0,7,747,747
100,0.2,"(3, 25)","(5, 23)",1501,0,7,747,747
100,0.3,"(3, 25)","(5, 23)",10849,0,7,5421,5421
100,0.4,"(3, 25)","(5, 23)",10837,0,7,5415,5415
100,0.5,"(3, 25)","(5, 23)",361,0,7,177,177
100,0.6,"(3, 25)","(5, 23)",361,0,7,177,177
100,0.7,"(3, 25)","(5, 23)",361,0,7,177,177
100,0.8,"(3, 25)","(5, 23)",361,0,7,177,177
100,0.9,"(3, 25)","(5, 23)",361,0,7,177,177
100,1.0,"(3, 25)","(5, 23)",449,0,7,221,221
101,0.02,"(3, 22)","(5, 20)",41,0,7,17,17
101,0.04,"(3, 22)","(5, 20)",1233,0,7,613,613
101,0.06,"(3, 22)","(5, 20)",165,0,7,79,79
101,0.08,"(3, 22)","(5, 20)",1289,0,7,641,641
101,0.1,"(3, 22)","(5, 20)",1537,0,7,765,765
101,0.12,"(3, 22)","(5, 20)",241,0,7,117,117
101,0.14,"(3, 22)","(5, 20)",29,0,7,11,11
101,0.16,"(3, 22)","(5, 20)",29,0,7,11,11
101,0.18,"(3, 22)","(5, 20)",29,0,7,11,11
101,0.2,"(3, 22)","(5, 20)",29,0,7,11,11
101,0.3,"(3, 22)","(5, 20)",29,0,7,11,11
101,0.4,"(3, 22)","(5, 20)",29,0,7,11,11
101,0.5,"(3, 22)","(5, 20)",85,0,7,39,39
101,0.6,"(3, 22)","(5, 20)",85,0,7,39,39
101,0.7,"(3, 22)","(5, 20)",93,0,7,43,43
101,0.8,"(3, 22)","(5, 20)",93,0,7,43,43
101,0.9,"(3, 22)","(5, 20)",93,0,7,43,43
101,1.0,"(3, 22)","(5, 20)",93,0,7,43,43
102,0.02,"(3, 25)","(5, 19)",69,1,18,25,25
102,0.04,"(3, 25)","(5, 19)",1157,1,18,569,569
102,0.06,"(3, 25)","(5, 19)",989,1,18,485,485
102,0.08,"(3, 25)","(5, 19)",989,1,18,485,485
102,0.1,"(3, 25)","(5, 19)",793,1,18,387,387
102,0.12,"(3, 25)","(5, 19)",533,1,18,257,257
102,0.14,"(3, 25)","(5, 19)",1569,1,18,775,775
102,0.16,"(3, 25)","(5, 19)",561,1,18,271,271
102,0.18,"(3, 25)","(5, 19)",785,1,18,383,383
102,0.2,"(3, 25)","(5, 19)",785,1,18,383,383
102,0.3,"(3, 25)","(5, 19)",825,1,18,403,403
102,0.4,"(3, 25)","(5, 19)",797,1,18,389,389
102,0.5,"(3, 25)","(5, 19)",797,1,18,389,389
102,0.6,"(3, 25)","(5, 19)",797,1,18,389,389
102,0.7,"(3, 25)","(5, 19)",797,1,18,389,389
102,0.8,"(3, 25)","(5, 19)",801,1,18,391,391
102,0.9,"(3, 25)","(5, 19)",801,1,18,391,391
102,1.0,"(3, 25)","(5, 19)",801,1,18,391,391
103,0.02,"(3, 20)","(5, 18)",314,2,20,146,146
103,0.04,"(3, 20)","(5, 18)",50,2,20,14,14
103,0.06,"(3, 20)","(5, 18)",50,2,20,14,14
103,0.08,"(3, 20)","(5, 18)",50,2,20,14,14
103,0.1,"(3, 20)","(5, 18)",50,2,20,14,14
103,0.12,"(3, 20)","(5, 18)",50,2,20,14,14
103,0.14,"(3, 20)","(5, 18)",86,2,20,32,32
103,0.16,"(3, 20)","(5, 18)",86,2,20,32,32
103,0.18,"(3, 20)","(5, 18)",86,2,20,32,32
103,0.2,"(3, 20)","(5, 18)",62,2,20,20,20
103,0.3,"(3, 20)","(5, 18)",62,2,20,20,20
103,0.4,"(3, 20)","(5, 18)",62,2,20,20,20
103,0.5,"(3, 20)","(5, 18)",1870,2,20,924,924
103,0.6,"(3, 20)","(5, 18)",1794,2,20,886,886
103,0.7,"(3, 20)","(5, 18)",1794,2,20,886,886
103,0.8,"(3, 20)","(5, 18)",1794,2,20,886,886
103,0.9,"(3, 20)","(5, 18)",1794,2,20,886,886
103,1.0,"(3, 20)","(5, 18)",1794,2,20,886,886
104,0.02,"(4, 4)","(5, 28)",253,2,7,122,122
104,0.04,"(4, 4)","(5, 28)",1377,2,7,684,684
104,0.06,"(4, 4)","(5, 28)",12649,2,7,6320,6320
104,0.08,"(4, 4)","(5, 28)",1601,2,7,796,796
104,0.1,"(4, 4)","(5, 28)",1597,2,7,794,794
104,0.12,"(4, 4)","(5, 28)",1525,2,7,758,758
104,0.14,"(4, 4)","(5, 28)",1429,2,7,710,710
104,0.16,"(4, 4)","(5, 28)",1465,2,7,728,728
104,0.18,"(4, 4)","(5, 28)",1465,2,7,728,728
104,0.2,"(4, 4)","(5, 28)",1473,2,7,732,732
104,0.3,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,0.4,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,0.5,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,0.6,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,0.7,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,0.8,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,0.9,"(4, 4)","(5, 28)",12805,2,7,6398,6398
104,1.0,"(4, 4)","(5, 28)",12805,2,7,6398,6398
105,0.02,"(3, 23)","(5, 18)",110,4,20,43,43
105,0.04,"(3, 23)","(5, 18)",114,4,20,45,45
105,0.06,"(3, 23)","(5, 18)",74,4,20,25,25
105,0.08,"(3, 23)","(5, 18)",74,4,20,25,25
105,0.1,"(3, 23)","(5, 18)",74,4,20,25,25
105,0.12,"(3, 23)","(5, 18)",74,4,20,25,25
105,0.14,"(3, 23)","(5, 18)",74,4,20,25,25
105,0.16,"(3, 23)","(5, 18)",306,4,20,141,141
105,0.18,"(3, 23)","(5, 18)",306,4,20,141,141
105,0.2,"(3, 23)","(5, 18)",306,4,20,141,141
105,0.3,"(3, 23)","(5, 18)",302,4,20,139,139
105,0.4,"(3, 23)","(5, 18)",290,4,20,133,133
105,0.5,"(3, 23)","(5, 18)",294,4,20,135,135
105,0.6,"(3, 23)","(5, 18)",294,4,20,135,135
105,0.7,"(3, 23)","(5, 18)",294,4,20,135,135
105,0.8,"(3, 23)","(5, 18)",294,4,20,135,135
105,0.9,"(3, 23)","(5, 18)",294,4,20,135,135
105,1.0,"(3, 23)","(5, 18)",294,4,20,135,135
106,0.02,"(3, 23)","(5, 15)",203,1,24,89,89
106,0.04,"(3, 23)","(5, 15)",8599,1,24,4287,4287
106,0.06,"(3, 23)","(5, 15)",307,1,24,141,141
106,0.08,"(3, 23)","(5, 15)",331,1,24,153,153
106,0.1,"(3, 23)","(5, 15)",351,1,24,163,163
106,0.12,"(3, 23)","(5, 15)",331,1,24,153,153
106,0.14,"(3, 23)","(5, 15)",331,1,24,153,153
106,0.16,"(3, 23)","(5, 15)",331,1,24,153,153
106,0.18,"(3, 23)","(5, 15)",331,1,24,153,153
106,0.2,"(3, 23)","(5, 15)",379,1,24,177,177
106,0.3,"(3, 23)","(5, 15)",779,1,24,377,377
106,0.4,"(3, 23)","(5, 15)",739,1,24,357,357
106,0.5,"(3, 23)","(5, 15)",739,1,24,357,357
106,0.6,"(3, 23)","(5, 15)",739,1,24,357,357
106,0.7,"(3, 23)","(5, 15)",739,1,24,357,357
106,0.8,"(3, 23)","(5, 15)",815,1,24,395,395
106,0.9,"(3, 23)","(5, 15)",783,1,24,379,379
106,1.0,"(3, 23)","(5, 15)",783,1,24,379,379
107,0.02,"(3, 23)","(5, 18)",366,1,39,163,163
107,0.04,"(3, 23)","(5, 18)",174,1,39,67,67
107,0.06,"(3, 23)","(5, 18)",174,1,39,67,67
107,0.08,"(3, 23)","(5, 18)",218,1,39,89,89
107,0.1,"(3, 23)","(5, 18)",218,1,39,89,89
107,0.12,"(3, 23)","(5, 18)",338,1,39,149,149
107,0.14,"(3, 23)","(5, 18)",338,1,39,149,149
107,0.16,"(3, 23)","(5, 18)",338,1,39,149,149
107,0.18,"(3, 23)","(5, 18)",346,1,39,153,153
107,0.2,"(3, 23)","(5, 18)",346,1,39,153,153
107,0.3,"(3, 23)","(5, 18)",582,1,39,271,271
107,0.4,"(3, 23)","(5, 18)",350,1,39,155,155
107,0.5,"(3, 23)","(5, 18)",582,1,39,271,271
107,0.6,"(3, 23)","(5, 18)",594,1,39,277,277
107,0.7,"(3, 23)","(5, 18)",594,1,39,277,277
107,0.8,"(3, 23)","(5, 18)",602,1,39,281,281
107,0.9,"(3, 23)","(5, 18)",602,1,39,281,281
107,1.0,"(3, 23)","(5, 18)",602,1,39,281,281
108,0.02,"(3, 22)","(5, 16)",152,0,8,72,72
108,0.04,"(3, 22)","(5, 16)",1604,0,8,798,798
108,0.06,"(3, 22)","(5, 16)",300,0,8,146,146
108,0.08,"(3, 22)","(5, 16)",300,0,8,146,146
108,0.1,"(3, 22)","(5, 16)",304,0,8,148,148
108,0.12,"(3, 22)","(5, 16)",184,0,8,88,88
108,0.14,"(3, 22)","(5, 16)",6812,0,8,3402,3402
108,0.16,"(3, 22)","(5, 16)",6108,0,8,3050,3050
108,0.18,"(3, 22)","(5, 16)",1212,0,8,602,602
108,0.2,"(3, 22)","(5, 16)",824,0,8,408,408
108,0.3,"(3, 22)","(5, 16)",844,0,8,418,418
108,0.4,"(3, 22)","(5, 16)",272,0,8,132,132
108,0.5,"(3, 22)","(5, 16)",332,0,8,162,162
108,0.6,"(3, 22)","(5, 16)",336,0,8,164,164
108,0.7,"(3, 22)","(5, 16)",336,0,8,164,164
108,0.8,"(3, 22)","(5, 16)",336,0,8,164,164
108,0.9,"(3, 22)","(5, 16)",336,0,8,164,164
108,1.0,"(3, 22)","(5, 16)",336,0,8,164,164
109,0.02,"(3, 19)","(5, 10)",203,1,38,82,82
109,0.04,"(3, 19)","(5, 10)",123,1,38,42,42
109,0.06,"(3, 19)","(5, 10)",275,1,38,118,118
109,0.08,"(3, 19)","(5, 10)",543,1,38,252,252
109,0.1,"(3, 19)","(5, 10)",567,1,38,264,264
109,0.12,"(3, 19)","(5, 10)",823,1,38,392,392
109,0.14,"(3, 19)","(5, 10)",9711,1,38,4836,4836
109,0.16,"(3, 19)","(5, 10)",951,1,38,456,456
109,0.18,"(3, 19)","(5, 10)",827,1,38,394,394
109,0.2,"(3, 19)","(5, 10)",283,1,38,122,122
109,0.3,"(3, 19)","(5, 10)",291,1,38,126,126
109,0.4,"(3, 19)","(5, 10)",363,1,38,162,162
109,0.5,"(3, 19)","(5, 10)",659,1,38,310,310
109,0.6,"(3, 19)","(5, 10)",659,1,38,310,310
109,0.7,"(3, 19)","(5, 10)",659,1,38,310,310
109,0.8,"(3, 19)","(5, 10)",659,1,38,310,310
109,0.9,"(3, 19)","(5, 10)",659,1,38,310,310
109,1.0,"(3, 19)","(5, 10)",843,1,38,402,402
110,0.02,"(3, 19)","(5, 24)",1535,0,7,764,764
110,0.04,"(3, 19)","(5, 24)",8575,0,7,4284,4284
110,0.06,"(3, 19)","(5, 24)",71,0,7,32,32
110,0.08,"(3, 19)","(5, 24)",7747,0,7,3870,3870
110,0.1,"(3, 19)","(5, 24)",195,0,7,94,94
110,0.12,"(3, 19)","(5, 24)",8555,0,7,4274,4274
110,0.14,"(3, 19)","(5, 24)",7563,0,7,3778,3778
110,0.16,"(3, 19)","(5, 24)",123,0,7,58,58
110,0.18,"(3, 19)","(5, 24)",8663,0,7,4328,4328
110,0.2,"(3, 19)","(5, 24)",4179,0,7,2086,2086
110,0.3,"(3, 19)","(5, 24)",467,0,7,230,230
110,0.4,"(3, 19)","(5, 24)",827,0,7,410,410
110,0.5,"(3, 19)","(5, 24)",459,0,7,226,226
110,0.6,"(3, 19)","(5, 24)",599,0,7,296,296
110,0.7,"(3, 19)","(5, 24)",599,0,7,296,296
110,0.8,"(3, 19)","(5, 24)",599,0,7,296,296
110,0.9,"(3, 19)","(5, 24)",599,0,7,296,296
110,1.0,"(3, 19)","(5, 24)",599,0,7,296,296
111,0.02,"(3, 25)","(5, 19)",383,1,20,181,181
111,0.04,"(3, 25)","(5, 19)",7235,1,20,3607,3607
111,0.06,"(3, 25)","(5, 19)",1027,1,20,503,503
111,0.08,"(3, 25)","(5, 19)",9191,1,20,4585,4585
111,0.1,"(3, 25)","(5, 19)",9303,1,20,4641,4641
111,0.12,"(3, 25)","(5, 19)",151,1,20,65,65
111,0.14,"(3, 25)","(5, 19)",295,1,20,137,137
111,0.16,"(3, 25)","(5, 19)",291,1,20,135,135
111,0.18,"(3, 25)","(5, 19)",295,1,20,137,137
111,0.2,"(3, 25)","(5, 19)",295,1,20,137,137
111,0.3,"(3, 25)","(5, 19)",87,1,20,33,33
111,0.4,"(3, 25)","(5, 19)",599,1,20,289,289
111,0.5,"(3, 25)","(5, 19)",9111,1,20,4545,4545
111,0.6,"(3, 25)","(5, 19)",627,1,20,303,303
111,0.7,"(3, 25)","(5, 19)",627,1,20,303,303
111,0.8,"(3, 25)","(5, 19)",627,1,20,303,303
111,0.9,"(3, 25)","(5, 19)",627,1,20,303,303
111,1.0,"(3, 25)","(5, 19)",627,1,20,303,303
112,0.02,"(3, 22)","(5, 19)",1250,1,7,621,621
112,0.04,"(3, 22)","(5, 19)",1058,1,7,525,525
112,0.06,"(3, 22)","(5, 19)",126,1,7,59,59
112,0.08,"(3, 22)","(5, 19)",274,1,7,133,133
112,0.1,"(3, 22)","(5, 19)",366,1,7,179,179
112,0.12,"(3, 22)","(5, 19)",4622,1,7,2307,2307
112,0.14,"(3, 22)","(5, 19)",678,1,7,335,335
112,0.16,"(3, 22)","(5, 19)",950,1,7,471,471
112,0.18,"(3, 22)","(5, 19)",166,1,7,79,79
112,0.2,"(3, 22)","(5, 19)",166,1,7,79,79
112,0.3,"(3, 22)","(5, 19)",238,1,7,115,115
112,0.4,"(3, 22)","(5, 19)",46,1,7,19,19
112,0.5,"(3, 22)","(5, 19)",46,1,7,19,19
112,0.6,"(3, 22)","(5, 19)",46,1,7,19,19
112,0.7,"(3, 22)","(5, 19)",46,1,7,19,19
112,0.8,"(3, 22)","(5, 19)",46,1,7,19,19
112,0.9,"(3, 22)","(5, 19)",46,1,7,19,19
112,1.0,"(3, 22)","(5, 19)",46,1,7,19,19
113,0.02,"(3, 27)","(5, 20)",350,2,14,167,167
113,0.04,"(3, 27)","(5, 20)",198,2,14,91,91
113,0.06,"(3, 27)","(5, 20)",7682,2,14,3833,3833
113,0.08,"(3, 27)","(5, 20)",158,2,14,71,71
113,0.1,"(3, 27)","(5, 20)",378,2,14,181,181
113,0.12,"(3, 27)","(5, 20)",378,2,14,181,181
113,0.14,"(3, 27)","(5, 20)",1946,2,14,965,965
113,0.16,"(3, 27)","(5, 20)",19590,2,14,9787,9787
113,0.18,"(3, 27)","(5, 20)",19594,2,14,9789,9789
113,0.2,"(3, 27)","(5, 20)",278,2,14,131,131
113,0.3,"(3, 27)","(5, 20)",942,2,14,463,463
113,0.4,"(3, 27)","(5, 20)",414,2,14,199,199
113,0.5,"(3, 27)","(5, 20)",414,2,14,199,199
113,0.6,"(3, 27)","(5, 20)",414,2,14,199,199
113,0.7,"(3, 27)","(5, 20)",414,2,14,199,199
113,0.8,"(3, 27)","(5, 20)",414,2,14,199,199
113,0.9,"(3, 27)","(5, 20)",698,2,14,341,341
113,1.0,"(3, 27)","(5, 20)",698,2,14,341,341
114,0.02,"(3, 20)","(5, 21)",31,2,13,8,8
114,0.04,"(3, 20)","(5, 21)",227,2,13,106,106
114,0.06,"(3, 20)","(5, 21)",195,2,13,90,90
114,0.08,"(3, 20)","(5, 21)",231,2,13,108,108
114,0.1,"(3, 20)","(5, 21)",151,2,13,68,68
114,0.12,"(3, 20)","(5, 21)",127,2,13,56,56
114,0.14,"(3, 20)","(5, 21)",127,2,13,56,56
114,0.16,"(3, 20)","(5, 21)",127,2,13,56,56
114,0.18,"(3, 20)","(5, 21)",283,2,13,134,134
114,0.2,"(3, 20)","(5, 21)",283,2,13,134,134
114,0.3,"(3, 20)","(5, 21)",283,2,13,134,134
114,0.4,"(3, 20)","(5, 21)",295,2,13,140,140
114,0.5,"(3, 20)","(5, 21)",327,2,13,156,156
114,0.6,"(3, 20)","(5, 21)",295,2,13,140,140
114,0.7,"(3, 20)","(5, 21)",295,2,13,140,140
114,0.8,"(3, 20)","(5, 21)",295,2,13,140,140
114,0.9,"(3, 20)","(5, 21)",295,2,13,140,140
114,1.0,"(3, 20)","(5, 21)",295,2,13,140,140
115,0.02,"(3, 19)","(5, 16)",256,2,28,113,113
115,0.04,"(3, 19)","(5, 16)",128,2,28,49,49
115,0.06,"(3, 19)","(5, 16)",68,2,28,19,19
115,0.08,"(3, 19)","(5, 16)",708,2,28,339,339
115,0.1,"(3, 19)","(5, 16)",700,2,28,335,335
115,0.12,"(3, 19)","(5, 16)",696,2,28,333,333
115,0.14,"(3, 19)","(5, 16)",720,2,28,345,345
115,0.16,"(3, 19)","(5, 16)",720,2,28,345,345
115,0.18,"(3, 19)","(5, 16)",904,2,28,437,437
115,0.2,"(3, 19)","(5, 16)",6920,2,28,3445,3445
115,0.3,"(3, 19)","(5, 16)",1000,2,28,485,485
115,0.4,"(3, 19)","(5, 16)",1000,2,28,485,485
115,0.5,"(3, 19)","(5, 16)",1000,2,28,485,485
115,0.6,"(3, 19)","(5, 16)",1000,2,28,485,485
115,0.7,"(3, 19)","(5, 16)",1144,2,28,557,557
115,0.8,"(3, 19)","(5, 16)",992,2,28,481,481
115,0.9,"(3, 19)","(5, 16)",992,2,28,481,481
115,1.0,"(3, 19)","(5, 16)",992,2,28,481,481
116,0.02,"(3, 22)","(5, 18)",242,2,20,110,110
116,0.04,"(3, 22)","(5, 18)",70,2,20,24,24
116,0.06,"(3, 22)","(5, 18)",58,2,20,18,18
116,0.08,"(3, 22)","(5, 18)",58,2,20,18,18
116,0.1,"(3, 22)","(5, 18)",358,2,20,168,168
116,0.12,"(3, 22)","(5, 18)",358,2,20,168,168
116,0.14,"(3, 22)","(5, 18)",358,2,20,168,168
116,0.16,"(3, 22)","(5, 18)",358,2,20,168,168
116,0.18,"(3, 22)","(5, 18)",358,2,20,168,168
116,0.2,"(3, 22)","(5, 18)",394,2,20,186,186
116,0.3,"(3, 22)","(5, 18)",314,2,20,146,146
116,0.4,"(3, 22)","(5, 18)",314,2,20,146,146
116,0.5,"(3, 22)","(5, 18)",314,2,20,146,146
116,0.6,"(3, 22)","(5, 18)",74,2,20,26,26
116,0.7,"(3, 22)","(5, 18)",74,2,20,26,26
116,0.8,"(3, 22)","(5, 18)",74,2,20,26,26
116,0.9,"(3, 22)","(5, 18)",74,2,20,26,26
116,1.0,"(3, 22)","(5, 18)",74,2,20,26,26
117,0.02,"(3, 24)","(5, 22)",250,2,20,114,114
117,0.04,"(3, 24)","(5, 22)",58,2,20,18,18
117,0.06,"(3, 24)","(5, 22)",130,2,20,54,54
117,0.08,"(3, 24)","(5, 22)",130,2,20,54,54
117,0.1,"(3, 24)","(5, 22)",130,2,20,54,54
117,0.12,"(3, 24)","(5, 22)",130,2,20,54,54
117,0.14,"(3, 24)","(5, 22)",130,2,20,54,54
117,0.16,"(3, 24)","(5, 22)",146,2,20,62,62
117,0.18,"(3, 24)","(5, 22)",146,2,20,62,62
